ID,Name,First Name,Last Name,TM,LG,B,B_1,POW,POW P,HistID
19932,Alexander Canario,Alexander,Canario,Pittsburgh,Major League Baseball,Right,R,45,50,canaral01
20494,Ali Sanchez,Ali,Sanchez,Toronto,Major League Baseball,Right,R,30,35,sanchal04
19528,Amed Rosario,Amed,Rosario,Washington,Major League Baseball,Right,R,40,40,rosaram01
20208,Andres Chaparro,Andres,Chaparro,Washington,Major League Baseball,Right,R,40,45,chapaan01
20337,Andres Gimenez,Andres,Gimenez,Toronto,Major League Baseball,Left,L,40,50,gimenan01
19376,Andrew Benintendi,Andrew,Benintendi,Chicago,Major League Baseball,Left,L,55,55,beninan01
21009,Andrew Knizner,Andrew,Knizner,San Francisco,Major League Baseball,Right,R,35,35,kniznan01
20929,Andrew McCutchen,Andrew,McCutchen,Pittsburgh,Major League Baseball,Right,R,50,50,mccutan01
19920,Andrew Vaughn,Andrew,Vaughn,Chicago,Major League Baseball,Right,R,50,50,vaughan01
19420,Andruw Monasterio,Andruw,Monasterio,Milwaukee,Major League Baseball,Right,R,40,40,monasan01
20358,Andy Ibanez,Andy,Ibanez,Detroit,Major League Baseball,Right,R,40,40,ibanean01
20770,Andy Pages,Andy,Pages,Los Angeles,Major League Baseball,Right,R,55,55,pagesan01
20196,Angel Martinez,Angel,Martinez,Cleveland,Major League Baseball,Switch,S,40,40,martian02
20681,Anthony Santander,Anthony,Santander,Toronto,Major League Baseball,Switch,S,65,65,santaan02
20863,Anthony Seigler,Anthony,Seigler,Milwaukee,Major League Baseball,Left,L,30,40,seiglan01
20356,Anthony Volpe,Anthony,Volpe,New York,Major League Baseball,Right,R,45,45,volpean01
18470,Aramis Garcia,Aramis,Garcia,Arizona,Major League Baseball,Right,R,40,40,garciar01
20920,Austin Barnes,Austin,Barnes,Los Angeles,Major League Baseball,Right,R,25,25,barneau01
19423,Austin Hays,Austin,Hays,Cincinnati,Major League Baseball,Right,R,50,50,haysau01
19432,Austin Hedges,Austin,Hedges,Cleveland,Major League Baseball,Right,R,45,45,hedgeau01
20381,Austin Martin,Austin,Martin,Minnesota,Major League Baseball,Right,R,25,25,martiau01
18479,Austin Nola,Austin,Nola,Colorado,Major League Baseball,Right,R,40,40,nolaau01
19328,Austin Riley,Austin,Riley,Atlanta,Major League Baseball,Right,R,55,65,rileyau01
21038,Austin Slater,Austin,Slater,Chicago,Major League Baseball,Right,R,45,45,slateau01
20283,Austin Wells,Austin,Wells,New York,Major League Baseball,Left,L,60,60,wellsau01
19687,Austin Wynns,Austin,Wynns,Cincinnati,Major League Baseball,Right,R,65,65,wynnsau01
20955,Ben Rice,Ben,Rice,New York,Major League Baseball,Left,L,65,65,ricebe01
20933,Ben Rortvedt,Ben,Rortvedt,Tampa Bay,Major League Baseball,Left,L,30,35,rortvbe01
20445,Ben Williamson,Ben,Williamson,Seattle,Major League Baseball,Right,R,25,25,willibe03
20024,Billy Cook,Billy,Cook,Pittsburgh,Major League Baseball,Right,R,50,50,cookbi01
18506,Billy McKinney,Billy,McKinney,Texas,Major League Baseball,Left,L,40,40,mckinbi01
21046,Blaine Crim,Blaine,Crim,Texas,Major League Baseball,Right,R,65,65,crimbl01
20640,Blake Dunn,Blake,Dunn,Cincinnati,Major League Baseball,Right,R,40,45,dunnbl01
20816,Blake Perkins,Blake,Perkins,Milwaukee,Major League Baseball,Switch,S,35,40,perkibl01
20475,Blake Sabol,Blake,Sabol,Boston,Major League Baseball,Left,L,40,50,sabolbl01
20034,Blaze Alexander,Blaze,Alexander,Arizona,Major League Baseball,Right,R,45,45,alexabl01
20536,Bo Bichette,Bo,Bichette,Toronto,Major League Baseball,Right,R,45,50,bichebo01
19468,Bo Naylor,Bo,Naylor,Cleveland,Major League Baseball,Left,L,50,55,naylobo01
19986,Bob Seymour,Bob,Seymour,Tampa Bay,Major League Baseball,Left,L,40,40,seymobo01
19997,Bobby Dalbec,Bobby,Dalbec,Chicago,Major League Baseball,Right,R,40,60,dalbebo01
19506,Bobby Witt Jr.,Bobby,Witt Jr.,Kansas City,Major League Baseball,Right,R,55,65,wittbo02
20532,Brady House,Brady,House,Washington,Major League Baseball,Right,R,35,35,housebr01
20621,Brandon Lockridge,Brandon,Lockridge,San Diego,Major League Baseball,Right,R,20,35,lockrbr01
20392,Brandon Lowe,Brandon,Lowe,Tampa Bay,Major League Baseball,Left,L,65,65,lowebr01
20188,Brandon Marsh,Brandon,Marsh,Philadelphia,Major League Baseball,Left,L,45,50,marshbr02
20460,Brandon Nimmo,Brandon,Nimmo,New York,Major League Baseball,Left,L,55,55,nimmobr01
20771,Braxton Fulford,Braxton,Fulford,Colorado,Major League Baseball,Right,R,30,40,fulfobr01
20519,Brayan Rocchio,Brayan,Rocchio,Cleveland,Major League Baseball,Switch,S,35,35,rocchbr01
19733,Brendan Donovan,Brendan,Donovan,St. Louis,Major League Baseball,Left,L,40,40,donovbr01
21081,Brendan Rodgers,Brendan,Rodgers,Houston,Major League Baseball,Right,R,40,50,rodgebr02
19649,Brent Rooker,Brent,Rooker,Athletics,Major League Baseball,Right,R,65,65,rookebr01
19577,Brenton Doyle,Brenton,Doyle,Colorado,Major League Baseball,Right,R,50,50,doylebr02
20660,Brett Baty,Brett,Baty,New York,Major League Baseball,Left,L,60,60,batybr01
20117,Brett Harris,Brett,Harris,Athletics,Major League Baseball,Right,R,35,40,harribr02
21020,Brett Sullivan,Brett,Sullivan,Pittsburgh,Major League Baseball,Left,L,45,45,sullibr01
20852,Brett Wisely,Brett,Wisely,San Francisco,Major League Baseball,Left,L,35,35,wiselbr01
19993,Brewer Hicklen,Brewer,Hicklen,Detroit,Major League Baseball,Right,R,40,40,hicklbr01
18538,Brian Navarreto,Brian,Navarreto,Miami,Major League Baseball,Right,R,50,50,navarbr01
20263,Brice Matthews,Brice,Matthews,Houston,Major League Baseball,Right,R,65,65,matthbr01
19593,Brice Turang,Brice,Turang,Milwaukee,Major League Baseball,Left,L,40,40,turanbr02
20871,Brooks Baldwin,Brooks,Baldwin,Chicago,Major League Baseball,Switch,S,50,50,baldwbr01
19667,Brooks Lee,Brooks,Lee,Minnesota,Major League Baseball,Switch,S,45,45,leebr02
19939,Bryan De La Cruz,Bryan,De La Cruz,Atlanta,Major League Baseball,Right,R,50,55,delacbr01
20987,Bryan Ramos,Bryan,Ramos,Chicago,Major League Baseball,Right,R,45,45,ramosbr01
19567,Bryan Reynolds,Bryan,Reynolds,Pittsburgh,Major League Baseball,Switch,S,50,50,reynobr01
20730,Bryce Eldridge,Bryce,Eldridge,San Francisco,Major League Baseball,Left,L,40,40,eldribr01
19570,Bryce Harper,Bryce,Harper,Philadelphia,Major League Baseball,Left,L,60,60,harpebr03
19633,Bryce Johnson,Bryce,Johnson,San Diego,Major League Baseball,Switch,S,30,30,johnsbr03
19620,Bryce Teodosio,Bryce,Teodosio,Los Angeles,Major League Baseball,Right,R,25,35,teodobr01
19664,Bryson Stott,Bryson,Stott,Philadelphia,Major League Baseball,Left,L,40,40,stottbr01
18543,Buddy Kennedy,Buddy,Kennedy,Philadelphia,Major League Baseball,Right,R,40,40,kennebu01
19618,Byron Buxton,Byron,Buxton,Minnesota,Major League Baseball,Right,R,70,70,buxtoby01
20492,C.J. Stubbs,C.J.,Stubbs,Washington,Major League Baseball,Right,R,40,40,stubbcj01
19825,Cal Raleigh,Cal,Raleigh,Seattle,Major League Baseball,Switch,S,80,80,raleica01
20183,Cal Stevenson,Cal,Stevenson,Philadelphia,Major League Baseball,Left,L,35,35,steveca01
21060,Caleb Durbin,Caleb,Durbin,Milwaukee,Major League Baseball,Right,R,40,40,durbica01
20035,Cam Devanney,Cam,Devanney,Pittsburgh,Major League Baseball,Right,R,40,40,devanca01
19512,Cam Smith,Cam,Smith,Houston,Major League Baseball,Right,R,40,40,smithca07
20450,Carlos Correa,Carlos,Correa,Minnesota,Major League Baseball,Right,R,45,45,correca01
20266,Carlos Cortes,Carlos,Cortes,Athletics,Major League Baseball,Left,L,55,55,corteca01
19427,Carlos Narvaez,Carlos,Narvaez,Boston,Major League Baseball,Right,R,55,55,narvaca01
19298,Carlos Santana,Carlos,Santana,Cleveland,Major League Baseball,Switch,S,50,50,santaca01
19304,Carson Kelly,Carson,Kelly,Chicago,Major League Baseball,Right,R,55,55,kellyca02
19857,Carson McCusker,Carson,McCusker,Minnesota,Major League Baseball,Right,R,40,40,mccusca01
20853,Carson Williams,Carson,Williams,Tampa Bay,Major League Baseball,Right,R,55,55,willica02
19594,Carter Jensen,Carter,Jensen,Kansas City,Major League Baseball,Left,L,55,55,jenseca01
20791,Carter Kieboom,Carter,Kieboom,Los Angeles,Major League Baseball,Right,R,40,45,kieboca01
20470,Casey Schmitt,Casey,Schmitt,San Francisco,Major League Baseball,Right,R,55,55,schmica01
19166,Cavan Biggio,Cavan,Biggio,Kansas City,Major League Baseball,Left,L,40,50,biggica01
19437,Ceddanne Rafaela,Ceddanne,Rafaela,Boston,Major League Baseball,Right,R,45,45,rafaece01
19903,Cedric Mullins,Cedric,Mullins,Baltimore,Major League Baseball,Left,L,55,55,mullice01
20155,Cesar Prieto,Cesar,Prieto,St. Louis,Major League Baseball,Left,L,40,40,prietce01
20867,Cesar Salazar,Cesar,Salazar,Houston,Major League Baseball,Left,L,40,40,salazce01
20098,Chad Stevens,Chad,Stevens,Los Angeles,Major League Baseball,Right,R,40,40,stevech02
18390,Chadwick Tromp,Chadwick,Tromp,Atlanta,Major League Baseball,Right,R,45,50,trompch01
20438,Chandler Simpson,Chandler,Simpson,Tampa Bay,Major League Baseball,Left,L,25,25,simpsch01
20061,Chas McCormick,Chas,McCormick,Houston,Major League Baseball,Right,R,35,60,mccorch01
19479,Chase Meidroth,Chase,Meidroth,Chicago,Major League Baseball,Right,R,30,30,meidrch01
20697,Chris Taylor,Chris,Taylor,Los Angeles,Major League Baseball,Right,R,40,40,tayloch03
20229,Christian Encarnacion-Strand,Christian,Encarnacion-Strand,Cincinnati,Major League Baseball,Right,R,55,55,encarch01
19752,Christian Koss,Christian,Koss,San Francisco,Major League Baseball,Right,R,40,40,kossch01
20709,Christian Moore,Christian,Moore,Los Angeles,Major League Baseball,Right,R,55,55,moorech03
20948,Christian Vázquez,Christian,Vázquez,Minnesota,Major League Baseball,Right,R,40,40,vazquch01
19518,Christian Walker,Christian,Walker,Houston,Major League Baseball,Right,R,60,60,walkech02
19605,Christian Yelich,Christian,Yelich,Milwaukee,Major League Baseball,Left,L,60,60,yelicch01
20774,Christopher Morel,Christopher,Morel,Tampa Bay,Major League Baseball,Right,R,55,65,morelch01
20181,Chuckie Robinson,Chuckie,Robinson,Los Angeles,Major League Baseball,Right,R,40,40,robinch04
19739,CJ Abrams,CJ,Abrams,Washington,Major League Baseball,Left,L,50,50,abramcj01
20273,CJ Alexander,CJ,Alexander,Athletics,Major League Baseball,Left,L,35,40,alexacj01
19456,CJ Kayfus,CJ,Kayfus,Cleveland,Major League Baseball,Left,L,50,50,kayfucj01
20244,Coby Mayo,Coby,Mayo,Baltimore,Major League Baseball,Right,R,55,55,mayoco01
18464,Coco Montes,Coco,Montes,Tampa Bay,Major League Baseball,Right,R,40,40,monteco01
20592,Cody Bellinger,Cody,Bellinger,New York,Major League Baseball,Left,L,55,75,bellico01
20404,Cody Freeman,Cody,Freeman,Texas,Major League Baseball,Right,R,45,45,freemco01
20677,Colby Thomas,Colby,Thomas,Athletics,Major League Baseball,Right,R,60,60,thomaco03
20969,Cole Young,Cole,Young,Seattle,Major League Baseball,Left,L,40,40,youngco01
20131,Colson Montgomery,Colson,Montgomery,Chicago,Major League Baseball,Left,L,80,80,montgco01
19574,Colt Keith,Colt,Keith,Detroit,Major League Baseball,Left,L,45,45,keithco01
19426,Colton Cowser,Colton,Cowser,Baltimore,Major League Baseball,Left,L,60,60,cowseco01
20389,Connor Joe,Connor,Joe,San Diego,Major League Baseball,Right,R,40,40,joeco01
18486,Connor Kaiser,Connor,Kaiser,Arizona,Major League Baseball,Right,R,35,40,kaiseco01
20796,Connor Norby,Connor,Norby,Miami,Major League Baseball,Right,R,50,50,norbyco01
19463,Connor Wong,Connor,Wong,Boston,Major League Baseball,Right,R,35,45,wongco01
19860,Cooper Hummel,Cooper,Hummel,Baltimore,Major League Baseball,Switch,S,50,50,hummeco01
20975,Corbin Carroll,Corbin,Carroll,Arizona,Major League Baseball,Left,L,65,65,carroco02
20169,Corey Julks,Corey,Julks,Chicago,Major League Baseball,Right,R,40,40,julksco01
20644,Corey Seager,Corey,Seager,Texas,Major League Baseball,Left,L,65,65,seageco01
20998,Curtis Mead,Curtis,Mead,Tampa Bay,Major League Baseball,Right,R,30,30,meadcu01
20859,Dairon Blanco,Dairon,Blanco,Kansas City,Major League Baseball,Right,R,45,45,blancda02
19642,Dalton Rushing,Dalton,Rushing,Los Angeles,Major League Baseball,Left,L,45,45,rushida01
21040,Dane Myers,Dane,Myers,Miami,Major League Baseball,Right,R,40,40,myersda01
20113,Daniel Johnson,Daniel,Johnson,San Francisco,Major League Baseball,Left,L,40,50,johnsda07
19492,Daniel Schneemann,Daniel,Schneemann,Cleveland,Major League Baseball,Left,L,45,45,schneda04
20672,Danny Jansen,Danny,Jansen,Tampa Bay,Major League Baseball,Right,R,55,65,janseda01
20668,Dansby Swanson,Dansby,Swanson,Chicago,Major League Baseball,Right,R,55,55,swansda01
20130,Darell Hernaiz,Darell,Hernaiz,Athletics,Major League Baseball,Right,R,30,30,hernada04
19999,DaShawn Keirsey Jr.,DaShawn,Keirsey Jr.,Minnesota,Major League Baseball,Left,L,45,45,keirsda01
19717,Daulton Varsho,Daulton,Varsho,Toronto,Major League Baseball,Left,L,70,70,varshda01
18398,David Banuelos,David,Banuelos,Baltimore,Major League Baseball,Right,R,40,40,banueda01
18511,David Fry,David,Fry,Cleveland,Major League Baseball,Right,R,60,60,fryda01
20634,David Hamilton,David,Hamilton,Boston,Major League Baseball,Left,L,45,45,hamilda03
18521,David Villar,David,Villar,San Francisco,Major League Baseball,Right,R,40,60,villada01
20436,Davis Schneider,Davis,Schneider,Toronto,Major League Baseball,Right,R,60,60,schneda03
19751,Daylen Lile,Daylen,Lile,Washington,Major League Baseball,Left,L,45,45,lileda01
20685,Daz Cameron,Daz,Cameron,Milwaukee,Major League Baseball,Right,R,45,45,camerda01
20066,Denzel Clarke,Denzel,Clarke,Athletics,Major League Baseball,Right,R,40,40,clarkde02
20701,Denzer Guzman,Denzer,Guzman,Los Angeles,Major League Baseball,Right,R,55,55,guzmade01
19445,Derek Hill,Derek,Hill,Miami,Major League Baseball,Right,R,45,45,hillde01
19514,Dillon Dingler,Dillon,Dingler,Detroit,Major League Baseball,Right,R,45,45,dingldi01
18527,DJ LeMahieu,DJ,LeMahieu,New York,Major League Baseball,Right,R,35,35,lemahdj01
20246,Dom Nuñez,Dom,Nuñez,Cleveland,Major League Baseball,Left,L,40,40,nunezdo01
19647,Dominic Canzone,Dominic,Canzone,Seattle,Major League Baseball,Left,L,60,60,canzodo01
20031,Dominic Fletcher,Dominic,Fletcher,Chicago,Major League Baseball,Left,L,30,30,fletcdo01
20875,Dominic Smith,Dominic,Smith,San Francisco,Major League Baseball,Left,L,40,40,smithdo02
19035,Donovan Solano,Donovan,Solano,Seattle,Major League Baseball,Right,R,40,40,solando01
18544,Donovan Walton,Donovan,Walton,Philadelphia,Major League Baseball,Left,L,40,40,waltodo01
19352,Drake Baldwin,Drake,Baldwin,Atlanta,Major League Baseball,Left,L,60,60,baldwdr01
20106,Drew Avans,Drew,Avans,Athletics,Major League Baseball,Left,L,35,40,avansdr01
20809,Drew Gilbert,Drew,Gilbert,San Francisco,Major League Baseball,Left,L,45,45,gilbedr01
20202,Drew Millas,Drew,Millas,Washington,Major League Baseball,Switch,S,35,40,milladr01
20143,Drew Romo,Drew,Romo,Colorado,Major League Baseball,Switch,S,40,40,romodr01
20844,Drew Waters,Drew,Waters,Kansas City,Major League Baseball,Switch,S,25,40,waterdr01
20175,Dustin Harris,Dustin,Harris,Texas,Major League Baseball,Left,L,50,50,harridu01
19241,Dylan Beavers,Dylan,Beavers,Baltimore,Major League Baseball,Left,L,50,50,beavedy01
20864,Dylan Carlson,Dylan,Carlson,Baltimore,Major League Baseball,Switch,S,40,45,carlsdy01
20641,Dylan Crews,Dylan,Crews,Washington,Major League Baseball,Right,R,50,50,crewsdy01
20882,Dylan Moore,Dylan,Moore,Seattle,Major League Baseball,Right,R,55,55,mooredy01
18567,Eddie Rosario,Eddie,Rosario,Los Angeles,Major League Baseball,Left,L,50,50,rosared01
19502,Edgar Quero,Edgar,Quero,Chicago,Major League Baseball,Switch,S,35,35,queroed01
19650,Edmundo Sosa,Edmundo,Sosa,Philadelphia,Major League Baseball,Right,R,55,55,sosaed01
19966,Edouard Julien,Edouard,Julien,Minnesota,Major League Baseball,Left,L,40,50,julieed01
19375,Eli White,Eli,White,Atlanta,Major League Baseball,Right,R,55,55,whiteel04
20289,Elias Díaz,Elias,Díaz,San Diego,Major League Baseball,Right,R,45,45,diazel01
18580,Elly De La Cruz,Elly,De La Cruz,Cincinnati,Major League Baseball,Switch,S,50,55,delacel01
18595,Emmanuel Rivera,Emmanuel,Rivera,Baltimore,Major League Baseball,Right,R,30,40,riverem01
20537,Endy Rodriguez,Endy,Rodriguez,Pittsburgh,Major League Baseball,Switch,S,35,35,rodrien01
20594,Enmanuel Valdez,Enmanuel,Valdez,Pittsburgh,Major League Baseball,Left,L,45,50,valdeen01
19537,Enrique Hernández,Enrique,Hernández,Los Angeles,Major League Baseball,Right,R,50,50,hernaen02
21061,Eric Haase,Eric,Haase,Milwaukee,Major League Baseball,Right,R,55,55,haaseer01
20893,Eric Wagaman,Eric,Wagaman,Miami,Major League Baseball,Right,R,40,40,wagamer01
19892,Ernie Clement,Ernie,Clement,Toronto,Major League Baseball,Right,R,40,40,clemeer01
20745,Esteury Ruiz,Esteury,Ruiz,Los Angeles,Major League Baseball,Right,R,50,50,ruizes01
20370,Eugenio Suárez,Eugenio,Suárez,Arizona,Major League Baseball,Right,R,75,75,suareeu01
20390,Evan Carter,Evan,Carter,Texas,Major League Baseball,Left,L,45,55,carteev01
20063,Everson Pereira,Everson,Pereira,Tampa Bay,Major League Baseball,Right,R,45,45,pereiev01
19674,Ezequiel Duran,Ezequiel,Duran,Texas,Major League Baseball,Right,R,20,40,duranez01
20384,Ezequiel Tovar,Ezequiel,Tovar,Colorado,Major League Baseball,Right,R,50,55,tovarez01
19696,Fernando Tatis Jr.,Fernando,Tatis Jr.,San Diego,Major League Baseball,Right,R,55,70,tatisfe02
20097,Francisco Alvarez,Francisco,Alvarez,New York,Major League Baseball,Right,R,55,60,alvarfr01
20547,Francisco Lindor,Francisco,Lindor,New York,Major League Baseball,Switch,S,60,60,lindofr01
20550,Freddie Freeman,Freddie,Freeman,Los Angeles,Major League Baseball,Left,L,55,55,freemfr01
19628,Freddy Fermin,Freddy,Fermin,Kansas City,Major League Baseball,Right,R,35,40,fermifr01
20311,Gabriel Arias,Gabriel,Arias,Cleveland,Major League Baseball,Right,R,40,45,ariasga01
19286,Gabriel Moreno,Gabriel,Moreno,Arizona,Major League Baseball,Right,R,45,45,morenga01
18607,Gage Workman,Gage,Workman,Chicago,Major League Baseball,Left,L,35,40,workmga01
18394,Garrett Hampson,Garrett,Hampson,Arizona,Major League Baseball,Right,R,25,25,hampsga01
19562,Garrett Mitchell,Garrett,Mitchell,Milwaukee,Major League Baseball,Left,L,40,50,mitchga01
20880,Garrett Stubbs,Garrett,Stubbs,Philadelphia,Major League Baseball,Left,L,35,35,stubbga01
19578,Gary Sanchez,Gary,Sanchez,Baltimore,Major League Baseball,Right,R,60,60,sanchga02
20824,Gavin Lux,Gavin,Lux,Cincinnati,Major League Baseball,Left,L,35,35,luxga01
19688,Gavin Sheets,Gavin,Sheets,San Diego,Major League Baseball,Left,L,45,50,sheetga01
19693,George Springer,George,Springer,Toronto,Major League Baseball,Right,R,65,65,springe01
20643,George Valera,George,Valera,Cleveland,Major League Baseball,Left,L,55,55,valerge01
20638,Geraldo Perdomo,Geraldo,Perdomo,Arizona,Major League Baseball,Switch,S,45,45,perdoge01
19555,Giancarlo Stanton,Giancarlo,Stanton,New York,Major League Baseball,Right,R,80,80,stantmi03
20579,Gio Urshela,Gio,Urshela,Athletics,Major League Baseball,Right,R,30,30,urshegi01
20387,Gleyber Torres,Gleyber,Torres,Detroit,Major League Baseball,Right,R,45,65,torregl01
20100,Graham Pauley,Graham,Pauley,Miami,Major League Baseball,Left,L,45,45,paulegr01
20766,Grant McCray,Grant,McCray,San Francisco,Major League Baseball,Left,L,45,50,mccragr01
19879,Greg Allen,Greg,Allen,Baltimore,Major League Baseball,Switch,S,35,35,allengr01
20017,Greg Jones,Greg,Jones,Chicago,Major League Baseball,Switch,S,45,50,jonesgr02
19689,Griffin Conine,Griffin,Conine,Miami,Major League Baseball,Left,L,45,50,coningr01
19442,Gunnar Henderson,Gunnar,Henderson,Baltimore,Major League Baseball,Left,L,55,70,hendegu01
20458,Gustavo Campero,Gustavo,Campero,Los Angeles,Major League Baseball,Switch,S,55,55,campegu01
19447,Ha-seong Kim,Ha-seong,Kim,Tampa Bay,Major League Baseball,Right,R,45,45,kimha01
19703,Harrison Bader,Harrison,Bader,Minnesota,Major League Baseball,Right,R,50,50,baderha01
20607,Harry Ford,Harry,Ford,Seattle,Major League Baseball,Right,R,40,40,fordha01
20731,Hayden Senger,Hayden,Senger,New York,Major League Baseball,Right,R,30,40,sengeha01
19610,Heliot Ramos,Heliot,Ramos,San Francisco,Major League Baseball,Right,R,55,55,ramoshe02
19996,Henry Davis,Henry,Davis,Pittsburgh,Major League Baseball,Right,R,40,45,davishe01
20026,Heriberto Hernandez,Heriberto,Hernandez,Miami,Major League Baseball,Right,R,55,55,hernahe01
20849,Heston Kjerstad,Heston,Kjerstad,Baltimore,Major League Baseball,Left,L,45,50,kjershe01
20440,Hunter Feduccia,Hunter,Feduccia,Los Angeles,Major League Baseball,Left,L,30,35,feduchu01
19404,Hunter Goodman,Hunter,Goodman,Colorado,Major League Baseball,Right,R,65,65,goodmhu01
18412,Hunter Renfroe,Hunter,Renfroe,Kansas City,Major League Baseball,Right,R,45,45,renfrhu01
20673,Hyeseong Kim,Hyeseong,Kim,Los Angeles,Major League Baseball,Left,L,40,40,kimhy02
19497,Ian Happ,Ian,Happ,Chicago,Major League Baseball,Switch,S,55,55,happia01
20982,Ildemaro Vargas,Ildemaro,Vargas,Arizona,Major League Baseball,Switch,S,35,35,vargail01
19540,Isaac Collins,Isaac,Collins,Milwaukee,Major League Baseball,Switch,S,40,40,colliis01
19503,Isaac Paredes,Isaac,Paredes,Houston,Major League Baseball,Right,R,55,65,paredis01
19403,Isiah Kiner-Falefa,Isiah,Kiner-Falefa,Pittsburgh,Major League Baseball,Right,R,30,30,kineris01
19612,Ivan Herrera,Ivan,Herrera,St. Louis,Major League Baseball,Right,R,60,60,herreiv01
20469,J.C. Escarra,J.C.,Escarra,New York,Major League Baseball,Left,L,45,45,escarjc01
19248,J.D. Davis,J.D.,Davis,Los Angeles,Major League Baseball,Right,R,45,45,davisjd01
20979,J.P. Crawford,J.P.,Crawford,Seattle,Major League Baseball,Left,L,40,40,crawfjp01
19632,J.T. Realmuto,J.T.,Realmuto,Philadelphia,Major League Baseball,Right,R,45,45,realmjt01
19367,Jac Caglianone,Jac,Caglianone,Kansas City,Major League Baseball,Left,L,55,55,caglija01
21082,Jace Jung,Jace,Jung,Detroit,Major League Baseball,Left,L,30,30,jungja01
20206,Jack Suwinski,Jack,Suwinski,Pittsburgh,Major League Baseball,Left,L,45,65,suwinja01
20280,Jack Winkler,Jack,Winkler,Miami,Major League Baseball,Right,R,35,40,winklja01
20862,Jackson Chourio,Jackson,Chourio,Milwaukee,Major League Baseball,Right,R,55,55,chourja01
20247,Jackson Holliday,Jackson,Holliday,Baltimore,Major League Baseball,Left,L,45,45,hollija01
19652,Jackson Merrill,Jackson,Merrill,San Diego,Major League Baseball,Left,L,55,55,merrija01
18435,Jacob Amaya,Jacob,Amaya,Chicago,Major League Baseball,Right,R,20,30,amayaja01
20036,Jacob Hurtubise,Jacob,Hurtubise,Cincinnati,Major League Baseball,Left,L,40,40,hurtuja01
20534,Jacob Melton,Jacob,Melton,Houston,Major League Baseball,Left,L,30,40,meltoja01
19149,Jacob Stallings,Jacob,Stallings,Colorado,Major League Baseball,Right,R,40,40,stallja01
19684,Jacob Wilson,Jacob,Wilson,Athletics,Major League Baseball,Right,R,40,40,wilsoja05
19788,Jacob Young,Jacob,Young,Washington,Major League Baseball,Right,R,25,25,youngja03
20725,Jahmai Jones,Jahmai,Jones,Detroit,Major League Baseball,Right,R,60,60,jonesja08
19531,Jake Bauers,Jake,Bauers,Milwaukee,Major League Baseball,Left,L,50,50,bauerja01
19655,Jake Burger,Jake,Burger,Texas,Major League Baseball,Right,R,60,70,burgeja01
19614,Jake Cronenworth,Jake,Cronenworth,San Diego,Major League Baseball,Left,L,45,45,croneja01
19814,Jake Fraley,Jake,Fraley,Cincinnati,Major League Baseball,Left,L,40,55,fraleja01
19847,Jake Mangum,Jake,Mangum,Tampa Bay,Major League Baseball,Switch,S,25,25,manguja01
19973,Jake McCarthy,Jake,McCarthy,Arizona,Major League Baseball,Left,L,40,40,mccarja02
19482,Jake Meyers,Jake,Meyers,Houston,Major League Baseball,Right,R,35,40,meyerja02
